%
% This is a file generated by the Open Source, Arc-Routing Library (OAR Lib).
% For more information on OAR Lib, or the format please visit: 
% https://github.com/Olibear/ArcRoutingLibrary 
%

================================
Format: OAR Lib
Graph Type:UNDIRECTED
Problem Type:TRUCK_AND_DRONE
Fleet Size (k):10
Number of Depots:SINGLE_DEPOT
Alpha:0.75
Drones Per Vehicle (l):8
Drone Flight Duration (t_drone):40
Truck Capacity (cap_truck):60
Depot ID(s) (d):113
N:225.0
M:299
================================

LINKS
Line Format:V1,V2,COST,REQUIRED
116,115,6,false
165,164,25,false
140,139,6,false
95,80,13,false
137,136,27,false
95,94,25,false
78,77,19,false
195,180,11,false
182,167,5,false
8,7,16,false
155,154,19,false
71,56,15,false
224,209,23,false
201,200,4,false
23,22,25,false
42,41,20,false
25,24,14,false
134,133,12,false
64,63,8,false
122,107,23,false
65,50,29,false
142,141,2,false
111,110,21,false
147,146,10,false
96,81,4,false
83,68,20,false
29,14,25,false
75,60,28,false
113,98,5,false
24,9,7,false
133,118,12,false
120,119,12,false
63,48,18,false
191,190,2,false
168,153,22,false
204,203,30,false
14,13,19,false
16,1,24,false
128,127,13,false
27,26,11,false
3,2,15,false
189,188,24,false
134,119,1,false
185,170,30,false
30,15,9,false
177,162,25,false
100,99,21,false
101,100,29,false
169,168,30,false
101,86,2,false
59,44,7,false
2,1,13,false
154,139,12,false
178,163,24,false
103,102,29,false
42,27,29,false
109,108,6,false
93,92,11,false
146,145,12,false
145,130,1,false
122,121,5,false
118,117,18,false
216,215,9,false
59,58,10,false
32,17,22,false
50,49,10,false
144,129,9,false
213,198,3,false
24,23,6,false
223,222,8,false
48,33,21,false
4,3,23,false
225,210,16,false
155,140,23,false
175,174,12,false
158,157,20,false
125,124,24,false
175,160,4,false
17,16,7,false
75,74,20,false
174,159,1,false
18,3,15,false
56,55,9,false
97,82,11,false
72,71,2,false
124,123,20,false
117,116,10,false
35,20,19,false
130,115,27,false
156,141,16,false
45,30,8,false
63,62,21,false
47,46,25,false
36,21,2,false
84,83,6,false
13,12,18,false
188,173,3,false
110,109,29,false
127,112,27,false
209,194,25,false
186,185,28,false
98,83,14,false
41,26,29,false
187,172,29,false
31,16,21,false
172,171,21,false
112,111,5,false
140,125,2,false
220,205,14,false
192,191,10,false
69,54,20,false
28,27,7,false
54,39,2,false
165,150,28,false
214,213,10,false
173,172,30,false
97,96,4,false
147,132,10,false
184,183,29,false
49,48,14,false
68,53,19,false
138,137,30,false
179,178,8,false
73,72,1,false
127,126,5,false
208,193,7,false
183,168,13,false
207,206,19,false
167,152,24,false
180,179,2,false
105,90,9,false
162,147,3,false
166,151,17,false
66,65,19,false
17,2,9,false
200,185,18,false
34,19,12,false
53,38,25,false
11,10,22,false
160,159,23,false
74,59,3,false
104,103,23,false
190,189,19,false
111,96,30,false
123,122,5,false
27,12,29,false
7,6,24,false
209,208,6,false
217,202,25,false
215,200,3,false
85,70,26,false
55,40,19,false
99,98,12,false
203,188,2,false
198,183,11,false
21,6,6,false
160,145,18,false
187,186,22,false
117,102,24,false
81,66,23,false
133,132,28,false
199,184,6,false
67,66,7,false
90,75,22,false
197,182,9,false
10,9,20,false
94,79,26,false
212,211,19,false
148,147,15,false
126,125,25,false
138,123,17,false
107,92,20,false
84,69,28,false
78,63,9,false
88,73,14,false
51,50,9,false
150,135,27,false
114,113,18,false
164,163,29,false
183,182,11,false
202,187,24,false
123,108,18,false
38,37,25,false
45,44,26,false
38,23,2,false
26,11,17,false
107,106,28,false
163,162,2,false
205,190,21,false
210,209,6,false
23,8,6,false
77,76,13,false
19,4,13,false
152,137,19,false
18,17,2,false
104,89,27,false
170,155,28,false
41,40,24,false
102,101,12,false
100,85,27,false
202,201,20,false
215,214,19,false
58,57,25,false
190,175,24,false
94,93,5,false
153,152,23,false
219,204,11,false
82,67,2,false
37,22,2,false
67,52,1,false
