%
% This is a file generated by the Open Source, Arc-Routing Library (OAR Lib).
% For more information on OAR Lib, or the format please visit: 
% https://github.com/Olibear/ArcRoutingLibrary 
%

================================
Format: OAR Lib
Graph Type:UNDIRECTED
Problem Type:TRUCK_AND_DRONE
Fleet Size (k):15
Number of Depots:SINGLE_DEPOT
Alpha:0.8
Drones Per Vehicle (l):3
Drone Flight Duration (t_drone):600
Truck Capacity (cap_truck):100
Depot ID(s) (d):211
N:400
M:546
================================

LINKS
Line Format:V1,V2,COST,REQUIRED
333,332,6,false
73,53,7,false
28,27,6,false
190,189,7,false
242,241,5,false
250,230,8,false
171,151,1,false
229,209,5,false
314,294,5,false
303,302,7,false
111,110,9,false
313,312,6,false
102,82,2,false
344,324,8,false
149,129,7,false
58,57,10,false
310,309,1,false
45,44,2,false
202,201,3,false
14,13,9,false
231,230,5,false
168,167,5,false
87,86,2,false
63,43,7,false
226,206,2,false
96,95,5,false
186,166,1,false
272,252,10,false
196,176,9,false
324,304,8,false
278,258,10,false
347,346,1,false
184,164,4,false
107,106,1,false
371,351,1,false
187,186,10,false
350,349,2,false
214,213,1,false
92,72,2,false
267,266,10,false
110,90,3,false
155,135,10,false
175,174,7,false
327,326,1,false
288,268,3,false
178,158,10,false
105,104,5,false
328,308,9,false
192,191,7,false
392,372,9,false
277,276,1,false
235,234,8,false
303,283,4,false
306,286,4,false
99,98,1,false
311,310,6,false
19,18,8,false
194,193,7,false
8,7,6,false
117,97,1,false
378,358,10,false
265,264,6,false
229,228,8,false
370,350,1,false
278,277,6,false
354,334,3,false
400,380,5,false
248,247,2,false
210,209,6,false
220,200,1,false
129,109,2,false
127,107,9,false
382,362,6,false
333,313,7,false
4,3,3,false
388,368,1,false
141,121,2,false
30,10,9,false
255,235,9,false
326,306,7,false
309,289,10,false
180,160,2,false
372,371,1,false
349,348,5,false
201,181,8,false
328,327,3,false
313,293,3,false
47,27,6,false
306,305,9,false
351,350,6,false
137,136,8,false
369,368,3,false
146,145,7,false
56,36,10,false
274,273,1,false
48,47,5,false
347,327,1,false
40,39,5,false
113,93,3,false
355,354,3,false
22,21,10,false
168,148,7,false
31,11,6,false
247,227,9,false
211,191,3,false
184,183,8,false
271,251,4,false
390,370,4,false
123,122,5,false
167,166,2,false
379,378,1,false
279,259,4,false
212,192,3,false
13,12,8,false
157,137,9,false
346,326,4,false
41,21,5,false
295,275,3,false
274,254,7,false
348,347,1,false
76,56,8,false
294,274,1,false
360,340,3,false
148,147,10,false
198,197,3,false
123,103,3,false
119,118,8,false
367,347,9,false
122,121,3,false
173,172,7,false
270,269,8,false
282,262,1,false
40,20,3,false
96,76,3,false
327,307,5,false
172,152,2,false
118,98,4,false
249,229,5,false
84,83,4,false
292,291,9,false
183,182,4,false
135,115,1,false
343,342,3,false
159,139,6,false
59,58,3,false
365,345,4,false
185,184,10,false
103,83,4,false
368,367,7,false
75,55,9,false
118,117,10,false
85,65,3,false
18,17,3,false
180,179,10,false
309,308,5,false
360,359,1,false
37,17,5,false
234,233,6,false
20,19,2,false
245,225,6,false
124,123,5,false
110,109,6,false
379,359,5,false
204,184,4,false
356,336,9,false
209,208,6,false
232,231,1,false
130,129,10,false
261,241,4,false
338,318,7,false
329,328,7,false
249,248,2,false
140,120,5,false
24,23,9,false
280,260,8,false
263,243,4,false
65,45,10,false
250,249,9,false
334,314,3,false
140,139,1,false
389,388,8,false
318,317,5,false
95,75,6,false
358,357,4,false
181,161,3,false
243,223,4,false
386,385,7,false
17,16,7,false
139,138,1,false
188,168,1,false
106,105,1,false
395,375,9,false
124,104,8,false
103,102,7,false
51,50,7,false
374,354,4,false
262,242,2,false
48,28,7,false
302,301,8,false
142,141,10,false
300,280,3,false
225,205,10,false
346,345,8,false
50,49,9,false
34,14,4,false
323,322,1,false
296,295,10,false
244,243,1,false
175,155,6,false
390,389,10,false
362,361,1,false
156,155,7,false
354,353,3,false
143,123,8,false
253,252,2,false
264,244,4,false
378,377,9,false
373,353,7,false
394,393,8,false
216,196,10,false
113,112,5,false
260,240,3,false
145,144,3,false
275,255,9,false
76,75,3,false
240,220,5,false
35,15,1,false
150,130,6,false
133,113,3,false
383,363,1,false
92,91,7,false
288,287,4,false
135,134,2,false
42,41,4,false
205,204,5,false
284,283,5,false
398,397,4,false
287,267,7,false
216,215,9,false
