%
% This is a file generated by the Open Source, Arc-Routing Library (OAR Lib).
% For more information on OAR Lib, or the format please visit: 
% https://github.com/Olibear/ArcRoutingLibrary 
%

================================
Format: OAR Lib
Graph Type:UNDIRECTED
Problem Type:TRUCK_AND_DRONE
Fleet Size (k):15
Number of Depots:SINGLE_DEPOT
Alpha:0.8
Drones Per Vehicle (l):3
Drone Flight Duration (t_drone):1000
Truck Capacity (cap_truck):50
Depot ID(s) (d):306
N:593
M:663
================================

LINKS
Line Format:V1,V2,COST,REQUIRED
94,95,18,false
267,567,45,false
460,461,111,false
315,314,93,false
387,90,19,false
496,497,9,false
398,151,21,false
567,568,15,false
370,371,7,false
236,237,90,false
27,28,33,false
279,280,15,false
51,52,43,false
488,476,44,false
155,417,28,false
93,94,13,false
292,441,42,false
60,580,43,false
55,255,52,false
130,129,42,false
162,586,58,false
291,189,8,false
307,308,62,false
134,135,19,false
46,47,3,false
153,394,20,false
131,130,13,false
443,445,19,false
497,498,25,false
385,386,17,false
507,309,41,false
490,347,12,false
239,174,12,false
24,43,44,false
15,476,91,false
504,125,21,false
142,143,9,false
286,287,38,false
474,184,3,false
156,17,17,false
402,401,158,false
297,383,20,false
362,414,62,false
410,16,36,false
278,279,6,false
2,187,14,false
524,525,7,false
464,467,8,false
12,186,7,false
163,310,159,false
105,106,93,false
143,144,25,false
95,268,36,false
361,543,102,false
436,439,16,false
289,472,9,false
391,390,70,false
374,574,97,false
53,164,55,false
572,573,88,false
73,72,6,false
466,337,27,false
574,375,37,false
544,546,7,false
417,293,30,false
19,23,31,false
448,444,19,false
223,96,44,false
84,83,4,false
588,585,35,false
453,454,6,false
20,21,33,false
523,110,22,false
405,500,18,false
210,407,37,false
471,170,118,false
221,222,150,false
104,105,9,false
347,27,35,false
527,528,66,false
127,126,30,false
345,346,22,false
456,457,29,false
491,492,9,false
421,17,83,false
306,401,27,false
378,379,10,false
462,333,39,false
529,530,5,false
124,578,79,false
360,231,108,false
321,322,4,false
39,18,35,false
140,141,5,false
43,44,71,false
32,33,119,false
578,171,42,false
580,536,215,false
284,137,10,false
22,422,20,false
99,100,9,false
485,288,16,false
74,73,19,false
545,107,13,false
254,554,17,false
353,332,10,false
133,134,3,false
231,232,22,false
417,418,20,false
323,324,4,false
170,192,80,false
376,377,20,false
401,397,237,false
420,360,148,false
509,510,68,false
171,116,119,false
70,356,6,false
157,156,77,false
95,242,20,false
192,194,80,false
1,168,133,false
395,394,9,false
319,320,69,false
263,264,30,false
459,460,6,false
429,426,41,false
274,275,15,false
126,125,7,false
252,91,80,false
209,593,3,false
528,529,19,false
167,245,8,false
283,131,6,false
478,479,112,false
120,552,19,false
368,369,7,false
586,584,24,false
463,419,38,false
88,366,37,false
508,365,36,false
470,169,154,false
400,399,213,false
497,500,124,false
258,259,119,false
415,411,14,false
262,263,26,false
112,111,30,false
61,62,66,false
366,87,36,false
312,88,10,false
282,283,10,false
115,114,26,false
183,182,15,false
9,10,5,false
241,95,22,false
67,68,88,false
92,431,30,false
405,406,47,false
69,231,70,false
113,112,78,false
337,336,64,false
585,361,76,false
340,339,29,false
309,505,43,false
509,338,58,false
171,444,28,false
584,583,32,false
364,50,24,false
339,338,7,false
547,548,6,false
530,531,40,false
96,224,10,false
3,4,10,false
363,461,29,false
443,446,35,false
78,77,9,false
64,65,16,false
312,552,147,false
442,443,7,false
270,53,137,false
184,183,12,false
67,522,66,false
182,181,4,false
12,14,15,false
358,104,12,false
316,343,74,false
437,436,16,false
102,103,33,false
336,18,33,false
566,560,82,false
217,218,9,false
146,147,3,false
419,38,46,false
449,214,33,false
536,61,8,false
11,12,16,false
440,93,13,false
21,32,87,false
577,578,23,false
555,260,60,false
490,491,44,false
516,101,6,false
489,23,44,false
335,458,11,false
431,437,144,false
468,469,68,false
180,179,6,false
501,502,14,false
439,440,22,false
406,404,2,false
538,539,35,false
560,499,3,false
482,483,12,false
293,419,116,false
275,276,6,false
503,504,31,false
425,430,87,false
322,323,4,false
8,9,5,false
195,381,5,false
240,241,16,false
427,197,28,false
81,140,15,false
18,19,12,false
567,95,15,false
349,350,35,false
158,157,97,false
269,433,65,false
267,175,18,false
382,429,18,false
314,313,44,false
375,124,7,false
459,489,39,false
308,309,54,false
346,490,87,false
243,244,9,false
41,257,121,false
198,427,26,false
5,6,5,false
213,449,33,false
335,459,38,false
116,172,11,false
573,574,53,false
59,86,52,false
348,349,81,false
520,521,43,false
389,161,51,false
502,503,22,false
14,15,19,false
30,31,50,false
434,269,106,false
121,122,11,false
141,142,41,false
37,294,13,false
200,199,16,false
147,148,3,false
148,149,3,false
354,353,10,false
369,370,3,false
211,212,120,false
186,185,4,false
31,20,10,false
266,203,47,false
542,544,10,false
216,217,9,false
87,59,8,false
566,564,50,false
228,98,112,false
4,5,6,false
367,368,4,false
125,405,26,false
298,384,43,false
492,493,5,false
47,48,30,false
500,176,48,false
499,30,49,false
410,409,35,false
515,55,70,false
143,317,9,false
495,496,33,false
178,513,10,false
226,227,111,false
287,485,4,false
487,486,10,false
264,265,19,false
338,466,3,false
426,424,54,false
25,26,42,false
519,329,38,false
568,569,33,false
122,123,35,false
416,415,47,false
193,555,61,false
159,158,65,false
539,541,39,false
372,373,4,false
82,81,12,false
556,470,3,false
401,307,50,false
2,3,5,false
233,152,23,false
431,292,41,false
328,533,10,false
333,363,9,false
97,532,103,false
446,448,43,false
44,45,3,false
495,494,11,false
413,414,8,false
384,299,25,false
334,335,68,false
237,238,45,false
28,348,11,false
107,150,11,false
49,42,14,false
