%
% This is a file generated by the Open Source, Arc-Routing Library (OAR Lib).
% For more information on OAR Lib, or the format please visit: 
% https://github.com/Olibear/ArcRoutingLibrary 
%

================================
Format: OAR Lib
Graph Type:UNDIRECTED
Problem Type:TRUCK_AND_DRONE
Fleet Size (k):15
Number of Depots:SINGLE_DEPOT
Alpha:0.8
Drones Per Vehicle (l):3
Drone Flight Duration (t_drone):600
Truck Capacity (cap_truck):100
Depot ID(s) (d):605
N:1310
M:1540
================================

LINKS
Line Format:V1,V2,COST,REQUIRED
303,317,4,false
183,186,3,false
1039,1036,4,false
289,52,4,false
187,1275,8,false
1161,1265,26,false
624,1054,18,false
349,355,7,false
964,970,7,false
1087,1089,27,false
436,305,3,false
716,979,9,false
47,905,18,false
87,171,4,false
10,441,7,false
855,865,5,false
1272,363,3,false
311,1205,6,false
1168,1167,42,false
968,974,8,false
231,229,14,false
798,1082,22,false
27,1210,61,false
269,1063,7,false
487,486,40,false
975,716,7,false
361,405,125,false
1043,126,1,false
1106,1105,19,false
56,687,25,false
460,84,8,false
906,637,21,false
534,807,13,false
904,598,8,false
354,313,7,false
603,585,48,false
503,500,1,false
55,602,13,false
1112,638,2,false
1090,288,47,false
1081,654,5,false
835,207,15,false
725,726,5,false
220,221,4,false
243,210,19,false
1052,919,18,false
564,1287,5,false
345,346,6,false
221,994,4,false
1098,263,5,false
276,268,124,false
587,588,5,false
554,85,6,false
848,615,2,false
218,219,74,false
1078,747,7,false
14,1040,3,false
1085,621,21,false
575,577,4,false
1299,1223,6,false
1097,1096,10,false
1305,1261,5,false
721,669,3,false
56,57,33,false
201,516,6,false
1271,362,5,false
56,922,12,false
1037,1038,3,false
471,152,3,false
102,104,44,false
933,53,11,false
95,211,4,false
197,278,5,false
287,1132,21,false
289,176,7,false
187,184,8,false
481,238,5,false
1107,740,5,false
394,1062,7,false
600,996,12,false
341,317,144,false
351,352,92,false
118,119,7,false
267,177,7,false
353,1062,7,false
550,1053,13,false
181,1101,3,false
414,415,72,false
91,92,48,false
985,705,18,false
743,918,1,false
43,72,34,false
216,670,8,false
153,507,27,false
229,632,27,false
1035,1037,3,false
349,394,7,false
983,802,65,false
159,903,12,false
134,135,23,false
818,759,85,false
1014,70,57,false
1040,1039,3,false
474,692,63,false
116,117,18,false
764,765,63,false
1257,1258,9,false
1028,1226,6,false
1058,366,7,false
541,1077,9,false
525,528,2,false
884,815,2,false
249,1044,6,false
1215,1019,3,false
912,1169,36,false
760,761,63,false
1065,1064,42,false
832,1109,29,false
1243,729,8,false
410,409,41,false
313,226,147,false
733,422,19,false
1250,215,4,false
576,578,5,false
1199,1198,4,false
185,321,8,false
177,1161,9,false
310,461,8,false
48,619,20,false
659,760,12,false
777,618,6,false
1001,628,21,false
348,340,8,false
1096,1095,4,false
643,684,12,false
457,464,10,false
1165,484,3,false
270,271,7,false
977,509,7,false
28,1012,21,false
405,512,7,false
230,656,1,false
770,940,7,false
693,684,56,false
1234,443,3,false
125,128,4,false
742,164,3,false
107,790,3,false
914,909,22,false
921,644,12,false
1226,1225,4,false
1230,330,98,false
449,448,33,false
1071,218,49,false
879,525,2,false
168,998,2,false
581,582,6,false
1092,267,14,false
1154,1153,5,false
987,356,3,false
120,121,19,false
1038,14,3,false
605,271,51,false
842,844,4,false
3,277,10,false
596,85,7,false
272,273,7,false
1147,1148,32,false
244,219,5,false
472,467,3,false
666,652,4,false
1074,212,2,false
203,403,25,false
1020,1243,3,false
739,606,3,false
586,601,9,false
831,366,8,false
411,413,6,false
458,157,12,false
921,639,28,false
608,264,14,false
926,502,5,false
1204,463,7,false
560,848,3,false
978,727,17,false
669,670,1,false
544,564,30,false
373,374,44,false
833,552,21,false
504,422,7,false
830,1058,8,false
158,176,4,false
919,849,14,false
1238,316,4,false
612,611,4,false
179,501,2,false
847,732,20,false
493,283,27,false
1254,1253,7,false
85,599,8,false
337,338,68,false
1156,1159,20,false
1000,488,1,false
1309,1057,5,false
1132,1131,13,false
255,711,3,false
377,347,91,false
887,566,126,false
1201,1202,28,false
966,969,2,false
670,1250,36,false
767,768,47,false
1060,370,24,false
173,172,4,false
1062,355,7,false
732,947,6,false
252,452,10,false
1193,208,12,false
945,60,10,false
758,757,34,false
495,1092,49,false
546,1172,5,false
1245,46,1,false
412,408,7,false
152,465,2,false
824,825,17,false
1058,724,5,false
270,1063,7,false
505,276,8,false
263,282,6,false
622,774,4,false
866,160,5,false
689,478,10,false
33,1070,18,false
1045,323,8,false
276,204,7,false
691,239,2,false
494,1112,7,false
271,831,36,false
417,736,48,false
45,545,2,false
917,863,7,false
795,696,20,false
355,318,61,false
224,738,9,false
78,79,33,false
228,17,6,false
1093,174,21,false
502,179,2,false
174,177,3,false
1076,936,4,false
799,796,41,false
322,1217,3,false
846,712,3,false
80,81,13,false
401,781,80,false
290,291,9,false
879,874,5,false
1268,671,57,false
1139,572,13,false
1221,1219,3,false
282,493,67,false
1279,57,14,false
1100,181,7,false
310,1204,31,false
292,290,10,false
839,18,3,false
347,348,7,false
123,124,22,false
913,912,18,false
936,154,3,false
859,872,65,false
995,1177,2,false
677,892,38,false
38,674,27,false
1198,1197,6,false
89,90,23,false
439,440,7,false
561,544,8,false
63,681,20,false
568,420,7,false
1097,623,14,false
626,472,8,false
1187,1188,6,false
478,485,5,false
905,906,11,false
240,816,10,false
699,698,32,false
370,369,16,false
406,4,6,false
305,608,7,false
1185,1305,29,false
883,233,3,false
382,19,32,false
477,689,7,false
329,1230,81,false
178,926,5,false
1222,1224,23,false
1232,444,3,false
553,849,9,false
1077,559,6,false
591,642,12,false
588,688,14,false
57,925,25,false
301,335,179,false
664,665,15,false
11,494,6,false
869,880,6,false
198,522,10,false
124,43,36,false
1077,540,6,false
53,59,9,false
415,1051,38,false
1152,1151,9,false
813,535,20,false
251,1031,14,false
1071,235,6,false
621,622,11,false
911,910,8,false
85,489,9,false
5,418,9,false
865,879,5,false
466,469,3,false
516,978,4,false
1310,1057,5,false
223,243,15,false
358,252,46,false
598,596,10,false
569,887,20,false
876,868,5,false
1025,965,2,false
511,984,7,false
437,255,9,false
592,232,7,false
1290,1003,5,false
1104,1220,2,false
932,55,12,false
814,810,41,false
369,1059,21,false
67,1015,45,false
102,103,9,false
632,172,62,false
285,1176,2,false
1056,47,26,false
469,205,9,false
582,1298,14,false
963,701,2,false
111,113,14,false
360,361,7,false
1022,964,23,false
195,398,7,false
400,569,127,false
521,193,7,false
201,1257,108,false
99,786,35,false
155,156,27,false
640,984,68,false
1094,1129,3,false
208,478,6,false
666,667,4,false
1152,395,43,false
501,189,4,false
580,581,6,false
585,942,55,false
60,61,18,false
1267,1268,6,false
815,785,65,false
804,406,6,false
653,652,4,false
910,914,66,false
362,1061,7,false
614,779,5,false
650,649,14,false
677,678,7,false
801,1154,23,false
211,217,7,false
132,133,5,false
986,318,7,false
1101,611,4,false
708,709,8,false
527,997,11,false
800,750,19,false
332,337,91,false
1045,303,8,false
705,717,12,false
789,790,3,false
243,244,6,false
680,678,39,false
796,982,34,false
864,877,37,false
1181,1091,9,false
61,931,9,false
531,852,13,false
268,679,45,false
264,1107,4,false
24,312,20,false
79,119,29,false
451,1231,91,false
325,295,104,false
942,274,3,false
1089,1090,5,false
787,788,4,false
314,315,5,false
203,202,7,false
1264,1263,2,false
920,24,5,false
712,845,33,false
950,945,6,false
1269,1270,22,false
454,455,22,false
1239,1240,5,false
655,657,18,false
364,380,7,false
763,764,12,false
727,518,138,false
446,445,7,false
426,541,77,false
514,201,6,false
916,744,1,false
384,10,7,false
421,1084,6,false
278,805,5,false
707,704,75,false
327,326,8,false
365,1057,6,false
299,519,7,false
730,484,26,false
1286,420,3,false
1191,1192,10,false
957,1194,4,false
839,557,12,false
1274,549,7,false
20,1254,16,false
886,575,95,false
514,773,63,false
862,871,7,false
1283,29,2,false
1164,1165,2,false
1051,324,38,false
951,12,1,false
562,5,9,false
1119,1134,2,false
48,151,8,false
112,79,13,false
1015,27,22,false
444,443,2,false
1115,713,21,false
131,1042,41,false
1,201,9,false
377,378,7,false
432,434,19,false
288,287,7,false
1307,1185,105,false
441,438,8,false
76,26,50,false
867,855,34,false
888,1083,68,false
717,718,20,false
366,927,5,false
1046,737,8,false
578,1139,134,false
1121,1118,3,false
678,676,2,false
1044,131,16,false
59,953,8,false
994,224,22,false
1133,1120,3,false
72,73,8,false
1293,1294,21,false
356,357,7,false
1042,248,15,false
672,17,7,false
476,480,2,false
210,453,47,false
309,310,3,false
617,183,9,false
256,255,34,false
425,427,45,false
675,39,35,false
479,242,7,false
96,114,15,false
1265,677,12,false
897,898,12,false
670,1080,1,false
298,699,80,false
1278,1277,24,false
209,993,7,false
486,691,20,false
55,587,13,false
1047,244,7,false
825,607,9,false
946,933,39,false
646,648,6,false
1069,32,31,false
269,266,7,false
844,1013,5,false
556,456,40,false
802,797,31,false
633,1114,40,false
1041,247,3,false
196,197,2,false
153,308,6,false
326,325,10,false
702,1024,5,false
379,441,7,false
1068,1067,30,false
583,584,6,false
1072,1071,3,false
1061,380,7,false
41,1147,11,false
1113,1093,2,false
690,235,3,false
346,347,7,false
1002,976,5,false
660,655,122,false
584,301,8,false
88,89,19,false
595,170,41,false
1219,1218,1,false
255,622,10,false
1050,213,8,false
26,1215,5,false
484,837,4,false
569,399,7,false
393,34,52,false
18,68,4,false
509,407,2,false
1227,1208,3,false
151,937,6,false
65,1023,4,false
470,205,9,false
892,269,7,false
852,851,5,false
283,290,6,false
974,967,10,false
714,198,64,false
745,1078,6,false
318,1045,7,false
715,191,10,false
1160,1159,8,false
122,123,21,false
80,594,13,false
1208,1207,4,false
973,966,2,false
406,510,2,false
394,351,7,false
225,226,33,false
749,824,22,false
939,203,11,false
211,454,8,false
1004,1032,4,false
335,334,6,false
654,287,7,false
174,260,8,false
746,167,6,false
657,658,11,false
305,1086,7,false
805,503,3,false
775,1060,6,false
428,565,1,false
186,1274,3,false
164,867,3,false
1166,1081,24,false
431,410,40,false
1003,1190,2,false
263,1099,8,false
179,1056,13,false
422,421,91,false
262,286,4,false
308,943,7,false
1196,1195,9,false
819,821,120,false
499,306,6,false
1291,475,2,false
290,751,7,false
75,1211,7,false
683,60,2,false
354,911,45,false
344,345,7,false
632,631,7,false
807,808,5,false
64,1010,28,false
1103,1102,3,false
1308,1272,5,false
989,991,3,false
37,916,20,false
282,492,4,false
140,139,21,false
755,754,30,false
387,389,2,false
213,482,2,false
615,550,5,false
362,312,8,false
686,930,9,false
308,708,38,false
1206,411,39,false
52,51,4,false
1118,1137,3,false
1175,285,3,false
713,739,61,false
688,589,10,false
199,714,12,false
647,648,4,false
47,187,9,false
513,983,5,false
1159,1158,5,false
90,112,16,false
1110,1106,26,false
405,799,67,false
1157,1160,20,false
192,630,5,false
895,270,9,false
1057,1181,7,false
170,792,19,false
1075,1245,37,false
532,881,39,false
773,439,62,false
1082,801,14,false
83,170,2,false
202,1306,111,false
694,48,29,false
709,1200,3,false
812,620,7,false
552,560,10,false
214,91,4,false
557,1026,3,false
992,446,8,false
681,24,19,false
173,791,83,false
1108,608,5,false
204,3,10,false
618,778,5,false
867,1000,2,false
712,551,9,false
529,866,5,false
1145,1146,21,false
