%
% This is a file generated by the Open Source, Arc-Routing Library (OAR Lib).
% For more information on OAR Lib, or the format please visit: 
% https://github.com/Olibear/ArcRoutingLibrary 
%

================================
Format: OAR Lib
Graph Type:UNDIRECTED
Problem Type:TRUCK_AND_DRONE
Fleet Size (k):10
Number of Depots:SINGLE_DEPOT
Alpha:0.9
Drones Per Vehicle (l):1
Drone Flight Duration (t_drone):1000
Truck Capacity (cap_truck):80
Depot ID(s) (d):599
N:693
M:865
================================

LINKS
Line Format:V1,V2,COST,REQUIRED
567,559,11,false
77,171,52,false
4,533,15,false
450,425,16,false
594,166,7,false
135,506,38,false
413,117,8,false
460,336,44,false
612,175,39,false
223,378,56,false
9,37,105,false
260,250,8,false
470,21,7,false
496,509,26,false
620,638,39,false
434,442,5,false
687,169,71,false
366,268,41,false
580,588,28,false
380,174,40,false
678,677,19,false
398,167,34,false
65,31,59,false
297,5,45,false
70,71,88,false
221,361,26,false
522,567,10,false
243,226,27,false
368,364,46,false
198,368,28,false
44,149,38,false
318,316,57,false
351,258,33,false
138,131,20,false
425,429,10,false
354,314,23,false
421,444,15,false
75,78,27,false
2,1,30,false
22,433,29,false
506,515,4,false
195,196,39,false
38,468,14,false
118,48,21,false
366,331,68,false
359,630,49,false
143,402,4,false
378,311,20,false
603,287,27,false
626,634,34,false
469,463,23,false
249,269,14,false
541,344,23,false
590,317,18,false
81,85,58,false
427,447,14,false
633,197,53,false
240,619,33,false
261,246,12,false
252,583,38,false
103,104,29,false
593,189,43,false
306,281,17,false
674,511,35,false
27,178,38,false
62,523,26,false
389,388,11,false
286,603,5,false
177,277,4,false
259,248,17,false
270,692,50,false
409,637,32,false
187,186,56,false
230,239,15,false
355,290,64,false
93,12,57,false
536,520,12,false
19,20,26,false
128,532,25,false
264,251,8,false
181,291,50,false
405,609,8,false
142,403,11,false
267,261,11,false
470,459,47,false
584,298,35,false
287,288,25,false
608,36,11,false
179,92,42,false
29,63,42,false
171,175,9,false
209,240,61,false
332,467,42,false
376,92,30,false
64,158,22,false
308,178,41,false
330,329,50,false
645,651,48,false
92,633,32,false
265,264,4,false
268,272,21,false
356,589,27,false
300,357,48,false
105,52,44,false
18,486,25,false
5,493,51,false
50,48,83,false
449,458,9,false
55,45,40,false
196,90,59,false
495,490,41,false
526,136,7,false
9,672,26,false
607,17,8,false
653,654,13,false
513,518,58,false
634,619,25,false
134,495,3,false
351,572,50,false
555,536,11,false
369,372,34,false
80,79,44,false
466,50,32,false
374,653,38,false
631,629,14,false
244,362,20,false
239,180,29,false
312,370,32,false
109,489,20,false
448,449,4,false
491,505,38,false
524,523,30,false
451,421,35,false
313,262,11,false
349,350,35,false
535,551,27,false
585,571,14,false
345,298,31,false
109,130,84,false
57,102,44,false
84,85,96,false
550,540,23,false
613,86,69,false
391,390,39,false
45,116,56,false
285,321,11,false
339,337,50,false
373,185,39,false
117,121,7,false
370,179,38,false
186,238,51,false
504,594,14,false
205,211,32,false
625,635,20,false
663,661,13,false
302,257,46,false
564,558,13,false
86,172,61,false
208,44,10,false
188,248,44,false
37,468,44,false
656,625,19,false
166,305,55,false
439,434,6,false
146,147,76,false
438,453,4,false
291,293,57,false
81,88,73,false
289,600,27,false
237,660,22,false
31,66,78,false
316,582,59,false
226,225,25,false
529,542,16,false
446,422,10,false
271,263,5,false
32,679,35,false
557,556,10,false
217,208,47,false
36,35,50,false
489,479,25,false
565,59,17,false
393,394,42,false
529,377,43,false
567,524,4,false
665,259,7,false
235,243,33,false
103,416,70,false
55,54,55,false
319,89,44,false
367,181,43,false
227,210,38,false
147,688,23,false
622,652,16,false
215,203,22,false
34,398,20,false
491,125,25,false
73,72,42,false
155,348,89,false
630,338,12,false
642,657,22,false
364,365,9,false
353,86,52,false
71,80,64,false
362,221,5,false
182,363,9,false
30,377,5,false
513,502,22,false
222,240,75,false
114,115,42,false
660,224,4,false
15,16,22,false
10,499,55,false
31,539,10,false
551,554,30,false
541,552,64,false
339,463,36,false
201,202,77,false
183,401,64,false
503,395,19,false
488,213,44,false
333,332,18,false
295,144,9,false
248,671,19,false
145,146,9,false
512,493,44,false
152,382,14,false
368,371,38,false
418,118,6,false
355,85,107,false
179,12,72,false
304,519,71,false
323,153,14,false
164,15,53,false
250,249,14,false
462,467,14,false
589,590,18,false
140,411,57,false
238,220,68,false
407,329,25,false
341,343,22,false
194,186,73,false
400,620,32,false
611,165,19,false
531,550,55,false
72,75,39,false
69,24,34,false
280,327,6,false
492,10,25,false
538,543,46,false
33,34,44,false
363,244,16,false
573,354,23,false
453,448,8,false
621,626,21,false
219,137,16,false
449,456,7,false
483,474,28,false
471,112,29,false
597,596,42,false
111,561,84,false
26,70,15,false
253,644,44,false
635,647,17,false
509,255,70,false
156,157,13,false
314,581,8,false
554,528,29,false
615,614,17,false
283,284,18,false
487,460,15,false
457,455,9,false
661,665,12,false
91,290,105,false
498,507,24,false
558,565,50,false
560,416,22,false
76,276,11,false
346,548,72,false
202,216,74,false
301,691,15,false
18,19,14,false
519,218,9,false
178,173,44,false
189,4,66,false
150,683,43,false
301,4,31,false
609,7,35,false
461,463,13,false
434,452,13,false
500,15,25,false
284,285,27,false
468,18,20,false
679,65,39,false
435,454,11,false
385,538,57,false
152,129,53,false
666,667,19,false
48,112,39,false
242,230,11,false
231,229,17,false
228,676,13,false
89,84,62,false
130,135,40,false
181,310,24,false
419,418,52,false
601,286,24,false
228,32,37,false
531,64,71,false
365,367,31,false
658,91,60,false
95,106,37,false
310,308,62,false
454,427,21,false
53,105,42,false
191,192,37,false
270,400,77,false
679,678,35,false
182,645,25,false
494,296,3,false
95,94,60,false
139,219,44,false
130,134,16,false
149,205,49,false
647,658,16,false
82,81,87,false
158,159,62,false
618,617,54,false
298,3,13,false
167,503,23,false
497,136,44,false
465,608,66,false
344,549,28,false
232,235,11,false
320,465,8,false
332,139,42,false
83,89,55,false
525,533,38,false
190,584,35,false
300,617,29,false
442,454,9,false
673,672,23,false
132,491,8,false
444,424,11,false
610,28,71,false
667,669,11,false
336,163,37,false
45,95,74,false
193,356,34,false
569,561,33,false
392,294,42,false
253,223,41,false
528,25,20,false
365,361,54,false
653,369,29,false
59,57,20,false
426,451,7,false
236,231,29,false
688,410,15,false
75,81,65,false
615,525,54,false
151,152,45,false
165,162,69,false
263,341,12,false
578,587,12,false
62,566,17,false
160,529,16,false
