%
% This is a file generated by the Open Source, Arc-Routing Library (OAR Lib).
% For more information on OAR Lib, or the format please visit: 
% https://github.com/Olibear/ArcRoutingLibrary 
%

================================
Format: OAR Lib
Graph Type:UNDIRECTED
Problem Type:TRUCK_AND_DRONE
Fleet Size (k):10
Number of Depots:SINGLE_DEPOT
Alpha:1.0
Drones Per Vehicle (l):2
Drone Flight Duration (t_drone):1000
Truck Capacity (cap_truck):100
Depot ID(s) (d):542
N:721
M:858
================================

LINKS
Line Format:V1,V2,COST,REQUIRED
602,510,132,false
27,137,17,false
64,430,43,false
437,31,109,false
76,77,147,false
247,404,8,false
606,598,5,false
587,586,6,false
35,93,69,false
227,435,68,false
464,461,26,false
502,370,12,false
46,562,20,false
436,123,42,false
353,338,18,false
450,177,10,false
417,414,4,false
252,392,12,false
71,216,72,false
318,153,138,false
179,557,2,false
711,712,3,false
232,233,147,false
554,552,10,false
716,717,3,false
581,583,3,false
705,706,2,false
313,507,23,false
236,137,104,false
447,319,9,false
122,436,9,false
530,83,13,false
714,715,3,false
401,402,17,false
170,169,84,false
178,450,27,false
672,658,8,false
335,355,19,false
328,324,19,false
199,235,146,false
184,276,103,false
330,698,32,false
136,251,32,false
384,495,52,false
618,130,68,false
195,211,27,false
617,614,72,false
601,613,6,false
319,350,84,false
386,245,42,false
226,187,5,false
219,539,2,false
275,182,103,false
703,425,6,false
282,287,147,false
299,348,15,false
272,40,108,false
338,339,9,false
209,175,53,false
122,199,32,false
697,362,96,false
65,66,31,false
682,66,67,false
677,507,7,false
274,252,113,false
199,21,54,false
449,114,76,false
149,238,105,false
430,65,75,false
88,321,64,false
643,649,3,false
394,131,8,false
564,37,2,false
620,650,47,false
362,24,56,false
487,463,20,false
228,229,51,false
169,84,33,false
26,119,11,false
674,656,13,false
32,33,68,false
507,509,13,false
31,156,276,false
419,416,3,false
31,32,56,false
156,103,37,false
331,358,10,false
659,504,6,false
327,328,84,false
567,148,75,false
443,445,76,false
43,44,147,false
54,55,32,false
430,429,106,false
324,325,80,false
408,405,11,false
239,240,147,false
458,498,8,false
249,201,145,false
317,143,139,false
467,688,28,false
73,74,82,false
135,551,146,false
608,514,15,false
610,597,5,false
347,334,24,false
382,448,59,false
259,280,74,false
75,76,146,false
231,232,116,false
117,118,37,false
668,677,21,false
256,207,138,false
201,619,56,false
425,424,21,false
312,248,145,false
180,558,145,false
608,156,75,false
575,527,14,false
185,77,106,false
261,446,17,false
403,404,10,false
277,10,27,false
110,268,107,false
455,697,30,false
52,53,2,false
540,696,2,false
491,489,14,false
439,443,62,false
622,618,91,false
351,262,29,false
348,506,20,false
68,69,141,false
118,74,37,false
45,37,32,false
134,429,75,false
438,191,8,false
208,68,33,false
621,516,84,false
209,302,48,false
512,89,11,false
615,312,27,false
166,167,95,false
235,236,74,false
696,146,145,false
451,453,2,false
104,102,22,false
212,260,146,false
27,28,32,false
482,472,14,false
92,438,62,false
610,612,49,false
341,356,12,false
176,701,10,false
289,171,54,false
548,547,2,false
76,184,108,false
470,484,11,false
558,179,2,false
390,177,6,false
688,146,105,false
401,607,41,false
576,383,4,false
142,141,117,false
10,11,82,false
567,226,50,false
520,577,14,false
261,376,77,false
580,454,2,false
387,388,83,false
198,692,39,false
80,437,169,false
230,294,51,false
477,501,15,false
95,96,73,false
286,110,105,false
673,660,30,false
100,261,68,false
519,633,10,false
385,553,3,false
597,591,6,false
429,20,20,false
589,400,22,false
68,209,55,false
51,150,58,false
593,617,180,false
366,369,4,false
182,181,149,false
181,116,44,false
215,216,49,false
105,283,52,false
180,72,107,false
141,140,32,false
418,254,5,false
297,243,100,false
108,107,147,false
261,162,66,false
546,545,7,false
428,188,85,false
448,257,53,false
163,190,60,false
505,671,11,false
515,620,9,false
248,303,147,false
469,490,27,false
538,219,2,false
70,555,76,false
449,15,37,false
103,101,21,false
151,232,106,false
182,75,107,false
423,377,75,false
601,590,146,false
602,593,105,false
128,576,8,false
116,252,62,false
642,631,9,false
295,679,35,false
184,183,79,false
267,108,105,false
131,395,30,false
664,665,2,false
59,604,43,false
397,135,53,false
77,7,97,false
643,648,3,false
434,304,98,false
452,585,2,false
662,663,2,false
565,623,133,false
591,615,5,false
681,680,23,false
435,228,29,false
435,434,48,false
197,274,33,false
283,241,50,false
192,412,16,false
4,410,11,false
227,565,106,false
593,616,5,false
75,265,74,false
440,261,17,false
496,478,4,false
416,415,4,false
655,674,3,false
493,466,7,false
535,533,7,false
384,542,3,false
499,489,12,false
458,474,6,false
264,12,66,false
13,563,65,false
114,684,13,false
654,630,6,false
525,575,13,false
4,140,71,false
250,284,52,false
340,341,10,false
34,165,138,false
304,303,106,false
629,651,2,false
15,126,17,false
245,605,11,false
74,181,106,false
